📡  电信广电,#genre#
天津卫视,http://www.xinxuzhen.com:8000/udp/239.77.1.141:5146
山东卫视,http://www.xinxuzhen.com:8000/udp/239.77.0.8:5146
山东卫视4K,http://www.xinxuzhen.com:8000/udp/239.77.0.61:5146
江西卫视,http://www.xinxuzhen.com:8000/udp/239.77.1.219:5146
湖北卫视,http://www.xinxuzhen.com:8000/udp/239.77.1.174:5146
辽宁卫视,http://www.xinxuzhen.com:8000/udp/239.77.0.123:5146
黑龙江卫视,http://www.xinxuzhen.com:8000/udp/239.77.1.179:5146
贵州卫视,http://www.xinxuzhen.com:8000/udp/239.77.0.230:5146
四川卫视,http://www.xinxuzhen.com:8000/udp/239.77.1.215:5146
四川卫视4K,http://www.xinxuzhen.com:8000/udp/239.77.0.60:5146
河南卫视,http://www.xinxuzhen.com:8000/udp/239.77.0.17:5146
云南卫视,http://www.xinxuzhen.com:8000/udp/239.253.43.37:5146
重庆卫视,http://www.xinxuzhen.com:8000/udp/239.77.1.162:5146
河北卫视,http://www.xinxuzhen.com:8000/udp/239.77.1.214:5146
东南卫视,http://www.xinxuzhen.com:8000/udp/239.77.0.146:5146
广西卫视,http://www.xinxuzhen.com:8000/udp/239.77.0.139:5146
吉林卫视,http://www.xinxuzhen.com:8000/udp/239.77.0.150:5146
陕西卫视,http://www.xinxuzhen.com:8000/udp/239.77.1.54:5146
山西卫视,http://www.xinxuzhen.com:8000/udp/239.77.1.74:5146
内蒙古卫视,http://www.xinxuzhen.com:8000/udp/239.77.1.55:5146
青海卫视,http://www.xinxuzhen.com:8000/udp/239.77.1.70:5146
海南卫视,http://www.xinxuzhen.com:8000/udp/239.253.43.35:5146
宁夏卫视,http://www.xinxuzhen.com:8000/udp/239.77.1.47:5146
西藏卫视,http://www.xinxuzhen.com:8000/udp/239.77.1.49:5146
新疆卫视,http://www.xinxuzhen.com:8000/udp/239.77.1.53:5146
甘肃卫视,http://www.xinxuzhen.com:8000/udp/239.77.1.57:5146
兵团卫视,http://www.xinxuzhen.com:8000/udp/239.77.1.80:5146
厦门卫视,http://www.xinxuzhen.com:8000/udp/239.77.0.96:5146
三沙卫视,http://www.xinxuzhen.com:8000/udp/239.77.1.117:5146
延边卫视,http://www.xinxuzhen.com:8000/udp/239.77.1.99:5146
兵器科技,http://www.xinxuzhen.com:8000/udp/239.253.43.18:5146
电视指南,http://www.xinxuzhen.com:8000/udp/239.253.43.19:5146
风云足球,http://www.xinxuzhen.com:8000/udp/239.253.43.20:5146
央视台球,http://www.xinxuzhen.com:8000/udp/239.253.43.21:5146
高尔夫网球,http://www.xinxuzhen.com:8000/udp/239.253.43.22:5146
女性时尚,http://www.xinxuzhen.com:8000/udp/239.253.43.23:5146
世界地理,http://www.xinxuzhen.com:8000/udp/239.253.43.24:5146
怀旧剧场,http://www.xinxuzhen.com:8000/udp/239.253.43.25:5146
风云剧场,http://www.xinxuzhen.com:8000/udp/239.253.43.26:5146
央视文化精品,http://www.xinxuzhen.com:8000/udp/239.253.43.27:5146
第一剧场,http://www.xinxuzhen.com:8000/udp/239.253.43.28:5146
风云音乐,http://www.xinxuzhen.com:8000/udp/239.253.43.29:5146
卫生健康,http://www.xinxuzhen.com:8000/udp/239.77.0.212:5146
老故事,http://www.xinxuzhen.com:8000/udp/239.77.0.220:5146
中学生,http://www.xinxuzhen.com:8000/udp/239.77.1.195:5146
发现之旅,http://www.xinxuzhen.com:8000/udp/239.77.1.112:5146
卡酷少儿,http://www.xinxuzhen.com:8000/udp/239.77.1.50:5146
金鹰卡通,http://www.xinxuzhen.com:8000/udp/239.77.0.164:5146
优漫卡通,http://www.xinxuzhen.com:8000/udp/239.77.1.79:5146
CETV-1,http://www.xinxuzhen.com:8000/udp/239.77.1.222:5146
CETV-2,http://www.xinxuzhen.com:8000/udp/239.77.1.69:5146
